"PassengerId","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Transported","Cabin_deck","Cabin_side"
"0001_01","Europa","False","TRAPPIST-1e",39,"False",0,0,0,0,0,"False","B","P"
"0002_01","Earth","False","TRAPPIST-1e",24,"False",109,9,25,549,44,"True","F","S"
"0003_01","Europa","False","TRAPPIST-1e",58,"True",43,3576,0,6715,49,"False","A","S"
"0003_02","Europa","False","TRAPPIST-1e",33,"False",0,1283,371,3329,193,"False","A","S"
"0004_01","Earth","False","TRAPPIST-1e",16,"False",303,70,151,565,2,"True","F","S"
"0005_01","Earth","False","PSO J318.5-22",44,"False",0,483,0,291,0,"True","F","P"
"0006_01","Earth","False","TRAPPIST-1e",26,"False",42,1539,3,0,0,"True","F","S"
"0006_02","Earth","True","TRAPPIST-1e",28,"False",0,0,0,0,0,"True","G","S"
"0007_01","Earth","False","TRAPPIST-1e",35,"False",0,785,17,216,0,"True","F","S"
"0008_01","Europa","True","55 Cancri e",14,"False",0,0,0,0,0,"True","B","P"
"0008_02","Europa","True","TRAPPIST-1e",34,"False",0,0,0,0,0,"True","B","P"
"0008_03","Europa","False","55 Cancri e",45,"False",39,7295,589,110,124,"True","B","P"
"0009_01","Mars","False","TRAPPIST-1e",32,"False",73,0,1123,0,113,"True","F","P"
"0010_01","Earth","False","TRAPPIST-1e",48,"False",719,1,65,0,24,"False","G","S"
"0011_01","Earth","False","TRAPPIST-1e",28,"False",8,974,12,2,7,"True","F","P"
"0012_01","Earth","False","TRAPPIST-1e",31,"False",32,0,876,0,0,"False","F","S"
"0014_01","Mars","False","55 Cancri e",27,"False",1286,122,0,0,0,"False","F","P"
"0015_01","Earth","False","55 Cancri e",24,"False",0,1,0,0,637,"False","F","P"
"0016_01","Mars","True","TRAPPIST-1e",45,"False",0,0,0,0,0,"True","F","P"
"0017_01","Earth","False","TRAPPIST-1e",0,"False",0,0,0,0,0,"True","G","P"
"0017_02","Earth","False","55 Cancri e",14,"False",412,0,1,0,679,"False","F","P"
"0020_01","Earth","True","TRAPPIST-1e",1,"False",0,0,0,0,0,"False","E","S"
"0020_02","Earth","True","55 Cancri e",49,"False",0,0,0,0,0,"False","E","S"
"0020_03","Earth","True","55 Cancri e",29,"False",0,0,0,0,0,"False","E","S"
"0020_04","Earth","False","TRAPPIST-1e",10,"False",0,0,0,0,0,"True","E","S"
"0020_05","Earth","True","PSO J318.5-22",1,"False",0,0,0,0,0,"False","E","S"
"0020_06","Earth","False","TRAPPIST-1e",7,"False",0,0,0,0,0,"False","E","S"
"0022_01","Mars","False","TRAPPIST-1e",21,"False",980,2,69,0,0,"False","D","P"
"0024_01","Europa","True","TRAPPIST-1e",62,"False",0,0,0,0,0,"True","C","S"
"0025_01","Earth","False","TRAPPIST-1e",15,"False",0,225,0,998,0,"False","F","S"
"0026_01","Europa","False","55 Cancri e",34,"False",22,6073,0,1438,328,"False","C","P"
"0028_01","Mars","False","TRAPPIST-1e",43,"False",1125,0,136,48,0,"False","F","P"
"0030_01","Earth","False","TRAPPIST-1e",32,"False",0,850,81,437,453,"False","G","S"
"0031_01","Mars","False","TRAPPIST-1e",47,"False",214,0,1411,0,1229,"True","F","P"
"0031_02","Mars","False","TRAPPIST-1e",2,"False",0,0,0,0,0,"True","F","P"
"0031_03","Mars","False","TRAPPIST-1e",20,"False",0,0,1750,990,0,"True","F","P"
"0034_01","Europa","True","55 Cancri e",28,"False",0,0,0,0,0,"True","D","S"
"0035_01","Mars","False","55 Cancri e",23,"False",784,964,0,951,0,"False","D","P"
"0036_01","Earth","False","55 Cancri e",15,"False",0,492,48,20,401,"False","F","S"
"0038_01","Earth","False","55 Cancri e",20,"False",554,195,0,2606,0,"False","F","S"
"0039_01","Earth","True","55 Cancri e",30,"False",0,0,0,0,0,"False","G","P"
"0041_01","Earth","True","TRAPPIST-1e",17,"False",0,0,0,0,0,"True","G","P"
"0043_01","Europa","False","TRAPPIST-1e",45,"False",0,164,45,2511,855,"False","B","P"
"0044_01","Earth","True","TRAPPIST-1e",55,"False",0,0,0,0,0,"False","G","P"
"0044_02","Earth","True","55 Cancri e",4,"False",0,0,0,0,0,"True","G","P"
