PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_deck,Cabin_side
0001_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,B,P
0002_01,Earth,False,TRAPPIST-1e,24.0,False,109.00000000000001,9.000000000000057,25.0,549.0,44.0,True,F,S
0003_01,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,A,S
0003_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0000000000002,371.0,3328.9999999999995,193.0,False,A,S
0004_01,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,F,S
0005_01,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,F,P
0006_01,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,F,S
0006_02,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S
0007_01,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,F,S
0008_01,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,B,P
0008_02,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,True,B,P
0008_03,Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,B,P
0009_01,Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.00000000000003,True,F,P
0010_01,Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,G,S
0011_01,Earth,False,TRAPPIST-1e,28.0,False,8.000000000000028,974.0,12.0,2.0,7.0,True,F,P
0012_01,Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0000000000001,0.0,0.0,False,F,P
0014_01,Mars,False,55 Cancri e,27.0,False,1286.0,122.0,372.0666666666666,0.0,0.0,False,F,P
0015_01,Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,F,P
0016_01,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P
0017_01,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P
0017_02,Earth,False,55 Cancri e,14.0,False,412.0,0.0,0.9999999999999716,0.0,679.0,False,F,P
0020_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,E,S
0020_02,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,E,S
0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,False,E,S
0020_04,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,E,S
0020_05,Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,False,E,S
0020_06,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,E,S
0022_01,Mars,False,TRAPPIST-1e,21.0,False,980.0,1.9999999999999432,69.0,0.0,0.0,False,D,P
0024_01,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,True,C,S
0025_01,Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,997.9999999999999,0.0,False,F,S
0026_01,Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,C,P
0028_01,Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,F,P
0030_01,Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,G,S
0031_01,Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,F,P
0031_02,Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P
0031_03,Mars,False,TRAPPIST-1e,20.0,False,332.0,0.0,1750.0,990.0,0.0,True,F,P
0034_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,D,S
0035_01,Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,D,P
0036_01,Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,False,F,S
0038_01,Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,F,S
0039_01,Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P
0041_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P
0043_01,Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,B,P
0044_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P
0044_02,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P
0044_03,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P
0045_01,Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,F,P
0045_02,Mars,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P
0050_01,Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,177.50000000000003,0.0,False,E,S
0051_01,Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,E,S
0052_01,Earth,False,TRAPPIST-1e,30.333333333333332,False,4.0,0.0,2.0,4683.0,0.0,False,G,S
0053_01,Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0000000000002,0.0,1.0,True,F,S
0056_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,A,S
0056_02,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,A,S
0056_03,Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,A,S
0058_01,Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S
0061_01,Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,F,S
0062_01,Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,F,S
0064_01,Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S
